VC,Vendor,Source
,,MEPoC
,,MEPoC
,,MEPoC
,Campus 1,MEPoC
,Campus 41,MEPoC
0,,MEPoC
0,0,MEPoC
101050,,MEPoC
10263,PRATT & WHITNEY AUTOAIR INC.,MEPoC
10503,,MEPoC
10621,,MEPoC
11015,PARADIGM ORILLIA TECHNOLOGY INC.,MEPoC
11550,"KAYDON RING & SEAL, INC.",MEPoC
12075,LEESTA INDUSTRIES LIMITED,MEPoC
1228,,MEPoC
1228,0,MEPoC
12555,,MEPoC
12569,,MEPoC
12580,,MEPoC
12580,0,MEPoC
13,Integrally Bladed,MEPoC
13469,Mesotc,MEPoC
13469,MESOTEC INC.,MEPoC
13469,Mesotech,MEPoC
13529,MEYER TOOL INC.,MEPoC
13606,,MEPoC
13606,0,MEPoC
13633,MERIDEN MFG INC,MEPoC
15165,NETUR INC,MEPoC
15518,,MEPoC
15518,0,MEPoC
15546,VITAL ENGINEERED COMPONENTS COMPANY,MEPoC
15577,NEW HAMPSHIRE BALL BRGS INC.,MEPoC
15618,NICHOLSONS SEALING TECHNOLOGIES LTD,MEPoC
16948,PRATT & WHITNEY KALISZ SP Z O O,MEPoC
16948,PRATT & WHITNEY KALISZ SP. Z.O.O.,MEPoC
17150,PRECI-SPARK LTD,MEPoC
17233,PRATT & WHITNEY RZESZOW S.A.,MEPoC
17524,,MEPoC
17524,0,MEPoC
17526,PRATT & WHITNEY,MEPoC
17560,PEGASUS MANUFACTURING,MEPoC
17600,PROJECTS INC,MEPoC
17747,,MEPoC
17747,0,MEPoC
1779,,MEPoC
1779,0,MEPoC
18105,QUELOZ & ASSOCIES INC.,MEPoC
1895,SKF,MEPoC
1895,SKF AEROENGINE FRANCE VALENCIENNES,MEPoC
19573,,MEPoC
19573,0,MEPoC
1975,,MEPoC
1975,0,MEPoC
20135,A.T.L.A.S. AERONAUTIK INC.,MEPoC
20545,,MEPoC
20545,0,MEPoC
20582,SMALLEY STEEL,MEPoC
20608,,MEPoC
20608,0,MEPoC
20639,0,MEPoC
20698,ENJET AERO MANCHESTER LLC.,MEPoC
